
----------------20250626_22_33_34----------------
======================== Start training! ========================

Epoch [1/50]	Learning Rate: 1.000e-04
Epoch-1-[60/4010]		Loss: 0.0103
Epoch-1-[120/4010]		Loss: 0.0070
Epoch-1-[180/4010]		Loss: 0.0067
Epoch-1-[240/4010]		Loss: 0.0064
Epoch-1-[300/4010]		Loss: 0.0046
Epoch-1-[360/4010]		Loss: 0.0053
Epoch-1-[420/4010]		Loss: 0.0056
Epoch-1-[480/4010]		Loss: 0.0034
Epoch-1-[540/4010]		Loss: 0.0040
Epoch-1-[600/4010]		Loss: 0.0034
Epoch-1-[660/4010]		Loss: 0.0039
Epoch-1-[720/4010]		Loss: 0.0075
Epoch-1-[780/4010]		Loss: 0.0059
Epoch-1-[840/4010]		Loss: 0.0029
Epoch-1-[900/4010]		Loss: 0.0047
Epoch-1-[960/4010]		Loss: 0.0034
Epoch-1-[1020/4010]		Loss: 0.0027
Epoch-1-[1080/4010]		Loss: 0.0071
Epoch-1-[1140/4010]		Loss: 0.0047
Epoch-1-[1200/4010]		Loss: 0.0041
Epoch-1-[1260/4010]		Loss: 0.0041
Epoch-1-[1320/4010]		Loss: 0.0032
Epoch-1-[1380/4010]		Loss: 0.0052
Epoch-1-[1440/4010]		Loss: 0.0044
Epoch-1-[1500/4010]		Loss: 0.0032
Epoch-1-[1560/4010]		Loss: 0.0041
Epoch-1-[1620/4010]		Loss: 0.0044
Epoch-1-[1680/4010]		Loss: 0.0047
Epoch-1-[1740/4010]		Loss: 0.0034
Epoch-1-[1800/4010]		Loss: 0.0041
Epoch-1-[1860/4010]		Loss: 0.0047
Epoch-1-[1920/4010]		Loss: 0.0031
Epoch-1-[1980/4010]		Loss: 0.0043
Epoch-1-[2040/4010]		Loss: 0.0038
Epoch-1-[2100/4010]		Loss: 0.0039
Epoch-1-[2160/4010]		Loss: 0.0028
Epoch-1-[2220/4010]		Loss: 0.0056
Epoch-1-[2280/4010]		Loss: 0.0033
Epoch-1-[2340/4010]		Loss: 0.0028
Epoch-1-[2400/4010]		Loss: 0.0037
Epoch-1-[2460/4010]		Loss: 0.0024
Epoch-1-[2520/4010]		Loss: 0.0040
Epoch-1-[2580/4010]		Loss: 0.0044
Epoch-1-[2640/4010]		Loss: 0.0021
Epoch-1-[2700/4010]		Loss: 0.0027
Epoch-1-[2760/4010]		Loss: 0.0031
Epoch-1-[2820/4010]		Loss: 0.0028
Epoch-1-[2880/4010]		Loss: 0.0026
Epoch-1-[2940/4010]		Loss: 0.0028
Epoch-1-[3000/4010]		Loss: 0.0032
Epoch-1-[3060/4010]		Loss: 0.0042
Epoch-1-[3120/4010]		Loss: 0.0054
Epoch-1-[3180/4010]		Loss: 0.0032
Epoch-1-[3240/4010]		Loss: 0.0038
Epoch-1-[3300/4010]		Loss: 0.0039
Epoch-1-[3360/4010]		Loss: 0.0037
Epoch-1-[3420/4010]		Loss: 0.0036
Epoch-1-[3480/4010]		Loss: 0.0050
Epoch-1-[3540/4010]		Loss: 0.0052
Epoch-1-[3600/4010]		Loss: 0.0036
Epoch-1-[3660/4010]		Loss: 0.0039
Epoch-1-[3720/4010]		Loss: 0.0032
Epoch-1-[3780/4010]		Loss: 0.0047
Epoch-1-[3840/4010]		Loss: 0.0024
Epoch-1-[3900/4010]		Loss: 0.0026
Epoch-1-[3960/4010]		Loss: 0.0033

IXI: [lmo/T2/X4] Validation:
Epoch: [1]	Valid Loss: 0.0037	PSNR: 45.820	SSIM: 0.992	(Best PSNR: 45.820	SSIM: 0.992	@Epoch: 1)

Saving models...
Training consuming: 689.09s
==================================================

Epoch [2/50]	Learning Rate: 1.000e-04
Epoch-2-[60/4010]		Loss: 0.0043
Epoch-2-[120/4010]		Loss: 0.0038
Epoch-2-[180/4010]		Loss: 0.0032
Epoch-2-[240/4010]		Loss: 0.0033
Epoch-2-[300/4010]		Loss: 0.0018
Epoch-2-[360/4010]		Loss: 0.0033
Epoch-2-[420/4010]		Loss: 0.0033
Epoch-2-[480/4010]		Loss: 0.0035
Epoch-2-[540/4010]		Loss: 0.0051
Epoch-2-[600/4010]		Loss: 0.0033
Epoch-2-[660/4010]		Loss: 0.0023
Epoch-2-[720/4010]		Loss: 0.0033
Epoch-2-[780/4010]		Loss: 0.0028
Epoch-2-[840/4010]		Loss: 0.0046
Epoch-2-[900/4010]		Loss: 0.0035
Epoch-2-[960/4010]		Loss: 0.0030
Epoch-2-[1020/4010]		Loss: 0.0048
Epoch-2-[1080/4010]		Loss: 0.0045
Epoch-2-[1140/4010]		Loss: 0.0039
Epoch-2-[1200/4010]		Loss: 0.0031
Epoch-2-[1260/4010]		Loss: 0.0042
Epoch-2-[1320/4010]		Loss: 0.0025
Epoch-2-[1380/4010]		Loss: 0.0029
Epoch-2-[1440/4010]		Loss: 0.0054
Epoch-2-[1500/4010]		Loss: 0.0029
Epoch-2-[1560/4010]		Loss: 0.0032
Epoch-2-[1620/4010]		Loss: 0.0023
Epoch-2-[1680/4010]		Loss: 0.0047
Epoch-2-[1740/4010]		Loss: 0.0049
Epoch-2-[1800/4010]		Loss: 0.0035
Epoch-2-[1860/4010]		Loss: 0.0038
Epoch-2-[1920/4010]		Loss: 0.0037
Epoch-2-[1980/4010]		Loss: 0.0048
Epoch-2-[2040/4010]		Loss: 0.0035
Epoch-2-[2100/4010]		Loss: 0.0058
Epoch-2-[2160/4010]		Loss: 0.0045
Epoch-2-[2220/4010]		Loss: 0.0025
Epoch-2-[2280/4010]		Loss: 0.0045
Epoch-2-[2340/4010]		Loss: 0.0039
Epoch-2-[2400/4010]		Loss: 0.0029
Epoch-2-[2460/4010]		Loss: 0.0036
Epoch-2-[2520/4010]		Loss: 0.0040
Epoch-2-[2580/4010]		Loss: 0.0029
Epoch-2-[2640/4010]		Loss: 0.0039
Epoch-2-[2700/4010]		Loss: 0.0037
Epoch-2-[2760/4010]		Loss: 0.0021
Epoch-2-[2820/4010]		Loss: 0.0031
Epoch-2-[2880/4010]		Loss: 0.0035
Epoch-2-[2940/4010]		Loss: 0.0040
Epoch-2-[3000/4010]		Loss: 0.0034
Epoch-2-[3060/4010]		Loss: 0.0037
Epoch-2-[3120/4010]		Loss: 0.0033
Epoch-2-[3180/4010]		Loss: 0.0029
Epoch-2-[3240/4010]		Loss: 0.0039
Epoch-2-[3300/4010]		Loss: 0.0037
Epoch-2-[3360/4010]		Loss: 0.0028
Epoch-2-[3420/4010]		Loss: 0.0030
Epoch-2-[3480/4010]		Loss: 0.0030
Epoch-2-[3540/4010]		Loss: 0.0032
Epoch-2-[3600/4010]		Loss: 0.0041
Epoch-2-[3660/4010]		Loss: 0.0053
Epoch-2-[3720/4010]		Loss: 0.0029
Epoch-2-[3780/4010]		Loss: 0.0032
Epoch-2-[3840/4010]		Loss: 0.0030
Epoch-2-[3900/4010]		Loss: 0.0043
Epoch-2-[3960/4010]		Loss: 0.0021

IXI: [lmo/T2/X4] Validation:
Epoch: [2]	Valid Loss: 0.0036	PSNR: 46.082	SSIM: 0.993	(Best PSNR: 46.082	SSIM: 0.993	@Epoch: 2)

Saving models...
Training consuming: 643.22s
==================================================

Epoch [3/50]	Learning Rate: 1.000e-04
Epoch-3-[60/4010]		Loss: 0.0037
Epoch-3-[120/4010]		Loss: 0.0044
Epoch-3-[180/4010]		Loss: 0.0038
Epoch-3-[240/4010]		Loss: 0.0027
Epoch-3-[300/4010]		Loss: 0.0032
Epoch-3-[360/4010]		Loss: 0.0038
Epoch-3-[420/4010]		Loss: 0.0027
Epoch-3-[480/4010]		Loss: 0.0041
Epoch-3-[540/4010]		Loss: 0.0031
Epoch-3-[600/4010]		Loss: 0.0041
Epoch-3-[660/4010]		Loss: 0.0043
Epoch-3-[720/4010]		Loss: 0.0019
Epoch-3-[780/4010]		Loss: 0.0033
Epoch-3-[840/4010]		Loss: 0.0045
Epoch-3-[900/4010]		Loss: 0.0023
Epoch-3-[960/4010]		Loss: 0.0027
Epoch-3-[1020/4010]		Loss: 0.0046
Epoch-3-[1080/4010]		Loss: 0.0045
Epoch-3-[1140/4010]		Loss: 0.0033
Epoch-3-[1200/4010]		Loss: 0.0027
Epoch-3-[1260/4010]		Loss: 0.0044
Epoch-3-[1320/4010]		Loss: 0.0039
Epoch-3-[1380/4010]		Loss: 0.0034
Epoch-3-[1440/4010]		Loss: 0.0034
Epoch-3-[1500/4010]		Loss: 0.0043
Epoch-3-[1560/4010]		Loss: 0.0030
Epoch-3-[1620/4010]		Loss: 0.0030
Epoch-3-[1680/4010]		Loss: 0.0033
Epoch-3-[1740/4010]		Loss: 0.0028
Epoch-3-[1800/4010]		Loss: 0.0031
Epoch-3-[1860/4010]		Loss: 0.0055
Epoch-3-[1920/4010]		Loss: 0.0031
Epoch-3-[1980/4010]		Loss: 0.0034
Epoch-3-[2040/4010]		Loss: 0.0034
Epoch-3-[2100/4010]		Loss: 0.0025
Epoch-3-[2160/4010]		Loss: 0.0029
Epoch-3-[2220/4010]		Loss: 0.0025
Epoch-3-[2280/4010]		Loss: 0.0027
Epoch-3-[2340/4010]		Loss: 0.0029
Epoch-3-[2400/4010]		Loss: 0.0034
Epoch-3-[2460/4010]		Loss: 0.0039
Epoch-3-[2520/4010]		Loss: 0.0031
Epoch-3-[2580/4010]		Loss: 0.0053
Epoch-3-[2640/4010]		Loss: 0.0050
Epoch-3-[2700/4010]		Loss: 0.0025
Epoch-3-[2760/4010]		Loss: 0.0033
Epoch-3-[2820/4010]		Loss: 0.0025
Epoch-3-[2880/4010]		Loss: 0.0024
Epoch-3-[2940/4010]		Loss: 0.0036
Epoch-3-[3000/4010]		Loss: 0.0031
Epoch-3-[3060/4010]		Loss: 0.0034
Epoch-3-[3120/4010]		Loss: 0.0032
Epoch-3-[3180/4010]		Loss: 0.0048
Epoch-3-[3240/4010]		Loss: 0.0043
Epoch-3-[3300/4010]		Loss: 0.0027
Epoch-3-[3360/4010]		Loss: 0.0017
Epoch-3-[3420/4010]		Loss: 0.0039
Epoch-3-[3480/4010]		Loss: 0.0021
Epoch-3-[3540/4010]		Loss: 0.0026
Epoch-3-[3600/4010]		Loss: 0.0034
Epoch-3-[3660/4010]		Loss: 0.0040
Epoch-3-[3720/4010]		Loss: 0.0030
Epoch-3-[3780/4010]		Loss: 0.0035
Epoch-3-[3840/4010]		Loss: 0.0041
Epoch-3-[3900/4010]		Loss: 0.0029
Epoch-3-[3960/4010]		Loss: 0.0038

IXI: [lmo/T2/X4] Validation:
Epoch: [3]	Valid Loss: 0.0036	PSNR: 46.251	SSIM: 0.994	(Best PSNR: 46.251	SSIM: 0.994	@Epoch: 3)

Saving models...
Training consuming: 643.82s
==================================================

Epoch [4/50]	Learning Rate: 1.000e-04
Epoch-4-[60/4010]		Loss: 0.0025
Epoch-4-[120/4010]		Loss: 0.0040
Epoch-4-[180/4010]		Loss: 0.0039
Epoch-4-[240/4010]		Loss: 0.0029
Epoch-4-[300/4010]		Loss: 0.0035
Epoch-4-[360/4010]		Loss: 0.0032
Epoch-4-[420/4010]		Loss: 0.0028
Epoch-4-[480/4010]		Loss: 0.0026
Epoch-4-[540/4010]		Loss: 0.0028
Epoch-4-[600/4010]		Loss: 0.0029
Epoch-4-[660/4010]		Loss: 0.0040
Epoch-4-[720/4010]		Loss: 0.0028
Epoch-4-[780/4010]		Loss: 0.0032
Epoch-4-[840/4010]		Loss: 0.0024
Epoch-4-[900/4010]		Loss: 0.0037
Epoch-4-[960/4010]		Loss: 0.0053
Epoch-4-[1020/4010]		Loss: 0.0024
Epoch-4-[1080/4010]		Loss: 0.0027
Epoch-4-[1140/4010]		Loss: 0.0028
Epoch-4-[1200/4010]		Loss: 0.0028
Epoch-4-[1260/4010]		Loss: 0.0043
Epoch-4-[1320/4010]		Loss: 0.0026
Epoch-4-[1380/4010]		Loss: 0.0027
Epoch-4-[1440/4010]		Loss: 0.0031
Epoch-4-[1500/4010]		Loss: 0.0040
Epoch-4-[1560/4010]		Loss: 0.0024
Epoch-4-[1620/4010]		Loss: 0.0034
Epoch-4-[1680/4010]		Loss: 0.0035
Epoch-4-[1740/4010]		Loss: 0.0026
Epoch-4-[1800/4010]		Loss: 0.0028
Epoch-4-[1860/4010]		Loss: 0.0032
Epoch-4-[1920/4010]		Loss: 0.0023
Epoch-4-[1980/4010]		Loss: 0.0027
Epoch-4-[2040/4010]		Loss: 0.0033
Epoch-4-[2100/4010]		Loss: 0.0048
Epoch-4-[2160/4010]		Loss: 0.0023
Epoch-4-[2220/4010]		Loss: 0.0022
Epoch-4-[2280/4010]		Loss: 0.0030
Epoch-4-[2340/4010]		Loss: 0.0030
Epoch-4-[2400/4010]		Loss: 0.0031
Epoch-4-[2460/4010]		Loss: 0.0029
Epoch-4-[2520/4010]		Loss: 0.0036
Epoch-4-[2580/4010]		Loss: 0.0039
Epoch-4-[2640/4010]		Loss: 0.0033
Epoch-4-[2700/4010]		Loss: 0.0035
Epoch-4-[2760/4010]		Loss: 0.0033
Epoch-4-[2820/4010]		Loss: 0.0026
Epoch-4-[2880/4010]		Loss: 0.0026
Epoch-4-[2940/4010]		Loss: 0.0035
Epoch-4-[3000/4010]		Loss: 0.0044
Epoch-4-[3060/4010]		Loss: 0.0036
Epoch-4-[3120/4010]		Loss: 0.0022
Epoch-4-[3180/4010]		Loss: 0.0034
Epoch-4-[3240/4010]		Loss: 0.0032
Epoch-4-[3300/4010]		Loss: 0.0029
Epoch-4-[3360/4010]		Loss: 0.0026
Epoch-4-[3420/4010]		Loss: 0.0027
Epoch-4-[3480/4010]		Loss: 0.0053
Epoch-4-[3540/4010]		Loss: 0.0027
Epoch-4-[3600/4010]		Loss: 0.0035
Epoch-4-[3660/4010]		Loss: 0.0030
Epoch-4-[3720/4010]		Loss: 0.0025
Epoch-4-[3780/4010]		Loss: 0.0024
Epoch-4-[3840/4010]		Loss: 0.0029
Epoch-4-[3900/4010]		Loss: 0.0031
Epoch-4-[3960/4010]		Loss: 0.0048

IXI: [lmo/T2/X4] Validation:
Epoch: [4]	Valid Loss: 0.0033	PSNR: 47.043	SSIM: 0.994	(Best PSNR: 47.043	SSIM: 0.994	@Epoch: 4)

Saving models...
Training consuming: 643.96s
==================================================

Epoch [5/50]	Learning Rate: 1.000e-04
Epoch-5-[60/4010]		Loss: 0.0034
Epoch-5-[120/4010]		Loss: 0.0026
Epoch-5-[180/4010]		Loss: 0.0039
Epoch-5-[240/4010]		Loss: 0.0030
Epoch-5-[300/4010]		Loss: 0.0028
Epoch-5-[360/4010]		Loss: 0.0035
Epoch-5-[420/4010]		Loss: 0.0041
Epoch-5-[480/4010]		Loss: 0.0040
Epoch-5-[540/4010]		Loss: 0.0037
Epoch-5-[600/4010]		Loss: 0.0032
Epoch-5-[660/4010]		Loss: 0.0042
Epoch-5-[720/4010]		Loss: 0.0036
Epoch-5-[780/4010]		Loss: 0.0048
Epoch-5-[840/4010]		Loss: 0.0042
Epoch-5-[900/4010]		Loss: 0.0042
Epoch-5-[960/4010]		Loss: 0.0040
Epoch-5-[1020/4010]		Loss: 0.0023
Epoch-5-[1080/4010]		Loss: 0.0039
Epoch-5-[1140/4010]		Loss: 0.0038
Epoch-5-[1200/4010]		Loss: 0.0029
Epoch-5-[1260/4010]		Loss: 0.0021
Epoch-5-[1320/4010]		Loss: 0.0045
Epoch-5-[1380/4010]		Loss: 0.0028
Epoch-5-[1440/4010]		Loss: 0.0040
Epoch-5-[1500/4010]		Loss: 0.0038
Epoch-5-[1560/4010]		Loss: 0.0028
Epoch-5-[1620/4010]		Loss: 0.0028
Epoch-5-[1680/4010]		Loss: 0.0026
Epoch-5-[1740/4010]		Loss: 0.0035
Epoch-5-[1800/4010]		Loss: 0.0039
Epoch-5-[1860/4010]		Loss: 0.0029
Epoch-5-[1920/4010]		Loss: 0.0043
Epoch-5-[1980/4010]		Loss: 0.0048
Epoch-5-[2040/4010]		Loss: 0.0030
Epoch-5-[2100/4010]		Loss: 0.0024
Epoch-5-[2160/4010]		Loss: 0.0040
Epoch-5-[2220/4010]		Loss: 0.0054
Epoch-5-[2280/4010]		Loss: 0.0027
Epoch-5-[2340/4010]		Loss: 0.0034
Epoch-5-[2400/4010]		Loss: 0.0040
Epoch-5-[2460/4010]		Loss: 0.0030
Epoch-5-[2520/4010]		Loss: 0.0030
Epoch-5-[2580/4010]		Loss: 0.0052
Epoch-5-[2640/4010]		Loss: 0.0034
Epoch-5-[2700/4010]		Loss: 0.0031
Epoch-5-[2760/4010]		Loss: 0.0030
Epoch-5-[2820/4010]		Loss: 0.0028
Epoch-5-[2880/4010]		Loss: 0.0032
Epoch-5-[2940/4010]		Loss: 0.0033
Epoch-5-[3000/4010]		Loss: 0.0028
Epoch-5-[3060/4010]		Loss: 0.0033
Epoch-5-[3120/4010]		Loss: 0.0032
Epoch-5-[3180/4010]		Loss: 0.0030
Epoch-5-[3240/4010]		Loss: 0.0028
Epoch-5-[3300/4010]		Loss: 0.0026
Epoch-5-[3360/4010]		Loss: 0.0028
Epoch-5-[3420/4010]		Loss: 0.0037
Epoch-5-[3480/4010]		Loss: 0.0020
Epoch-5-[3540/4010]		Loss: 0.0036
Epoch-5-[3600/4010]		Loss: 0.0034
Epoch-5-[3660/4010]		Loss: 0.0024
Epoch-5-[3720/4010]		Loss: 0.0030
Epoch-5-[3780/4010]		Loss: 0.0033
Epoch-5-[3840/4010]		Loss: 0.0036
Epoch-5-[3900/4010]		Loss: 0.0042
Epoch-5-[3960/4010]		Loss: 0.0025

IXI: [lmo/T2/X4] Validation:
Epoch: [5]	Valid Loss: 0.0036	PSNR: 45.782	SSIM: 0.994	(Best PSNR: 47.043	SSIM: 0.994	@Epoch: 4)

Saving models...
Training consuming: 643.75s
==================================================

Epoch [6/50]	Learning Rate: 1.000e-04
Epoch-6-[60/4010]		Loss: 0.0040
Epoch-6-[120/4010]		Loss: 0.0030
Epoch-6-[180/4010]		Loss: 0.0030
Epoch-6-[240/4010]		Loss: 0.0031
Epoch-6-[300/4010]		Loss: 0.0048
Epoch-6-[360/4010]		Loss: 0.0024
Epoch-6-[420/4010]		Loss: 0.0023
Epoch-6-[480/4010]		Loss: 0.0035
Epoch-6-[540/4010]		Loss: 0.0021
Epoch-6-[600/4010]		Loss: 0.0045
Epoch-6-[660/4010]		Loss: 0.0020
Epoch-6-[720/4010]		Loss: 0.0039
Epoch-6-[780/4010]		Loss: 0.0039
Epoch-6-[840/4010]		Loss: 0.0030
Epoch-6-[900/4010]		Loss: 0.0037
Epoch-6-[960/4010]		Loss: 0.0026
Epoch-6-[1020/4010]		Loss: 0.0033
Epoch-6-[1080/4010]		Loss: 0.0030
Epoch-6-[1140/4010]		Loss: 0.0031
Epoch-6-[1200/4010]		Loss: 0.0043
Epoch-6-[1260/4010]		Loss: 0.0035
Epoch-6-[1320/4010]		Loss: 0.0025
Epoch-6-[1380/4010]		Loss: 0.0038
Epoch-6-[1440/4010]		Loss: 0.0029
Epoch-6-[1500/4010]		Loss: 0.0033
Epoch-6-[1560/4010]		Loss: 0.0024
Epoch-6-[1620/4010]		Loss: 0.0023
Epoch-6-[1680/4010]		Loss: 0.0028
Epoch-6-[1740/4010]		Loss: 0.0019
Epoch-6-[1800/4010]		Loss: 0.0033
Epoch-6-[1860/4010]		Loss: 0.0034
Epoch-6-[1920/4010]		Loss: 0.0028
Epoch-6-[1980/4010]		Loss: 0.0055
Epoch-6-[2040/4010]		Loss: 0.0035
