
----------------20250708_10_31_33----------------
======================== Start training! ========================

Epoch [1/50]	Learning Rate: 1.000e-04
Epoch-1-[60/4010]		Loss: 0.0227
Epoch-1-[120/4010]		Loss: 0.0217
Epoch-1-[180/4010]		Loss: 0.0231
Epoch-1-[240/4010]		Loss: 0.0173
Epoch-1-[300/4010]		Loss: 0.0260
Epoch-1-[360/4010]		Loss: 0.0140
Epoch-1-[420/4010]		Loss: 0.0230
Epoch-1-[480/4010]		Loss: 0.0119
Epoch-1-[540/4010]		Loss: 0.0147
Epoch-1-[600/4010]		Loss: 0.0243
Epoch-1-[660/4010]		Loss: 0.0127
Epoch-1-[720/4010]		Loss: 0.0147
Epoch-1-[780/4010]		Loss: 0.0134
Epoch-1-[840/4010]		Loss: 0.0152
Epoch-1-[900/4010]		Loss: 0.0100
Epoch-1-[960/4010]		Loss: 0.0246
Epoch-1-[1020/4010]		Loss: 0.0168
Epoch-1-[1080/4010]		Loss: 0.0122
Epoch-1-[1140/4010]		Loss: 0.0141
Epoch-1-[1200/4010]		Loss: 0.0213
Epoch-1-[1260/4010]		Loss: 0.0149
Epoch-1-[1320/4010]		Loss: 0.0168
Epoch-1-[1380/4010]		Loss: 0.0091
Epoch-1-[1440/4010]		Loss: 0.0177
Epoch-1-[1500/4010]		Loss: 0.0145
Epoch-1-[1560/4010]		Loss: 0.0143
Epoch-1-[1620/4010]		Loss: 0.0170
Epoch-1-[1680/4010]		Loss: 0.0233
Epoch-1-[1740/4010]		Loss: 0.0135
Epoch-1-[1800/4010]		Loss: 0.0153
Epoch-1-[1860/4010]		Loss: 0.0110
Epoch-1-[1920/4010]		Loss: 0.0164
Epoch-1-[1980/4010]		Loss: 0.0125
Epoch-1-[2040/4010]		Loss: 0.0139
Epoch-1-[2100/4010]		Loss: 0.0099
Epoch-1-[2160/4010]		Loss: 0.0106
Epoch-1-[2220/4010]		Loss: 0.0165
Epoch-1-[2280/4010]		Loss: 0.0118
Epoch-1-[2340/4010]		Loss: 0.0092
Epoch-1-[2400/4010]		Loss: 0.0208
Epoch-1-[2460/4010]		Loss: 0.0113
Epoch-1-[2520/4010]		Loss: 0.0142
Epoch-1-[2580/4010]		Loss: 0.0161
Epoch-1-[2640/4010]		Loss: 0.0111
Epoch-1-[2700/4010]		Loss: 0.0111
Epoch-1-[2760/4010]		Loss: 0.0161
Epoch-1-[2820/4010]		Loss: 0.0104
Epoch-1-[2880/4010]		Loss: 0.0105
Epoch-1-[2940/4010]		Loss: 0.0150
Epoch-1-[3000/4010]		Loss: 0.0201
Epoch-1-[3060/4010]		Loss: 0.0140
Epoch-1-[3120/4010]		Loss: 0.0169
Epoch-1-[3180/4010]		Loss: 0.0113
Epoch-1-[3240/4010]		Loss: 0.0096
Epoch-1-[3300/4010]		Loss: 0.0139
Epoch-1-[3360/4010]		Loss: 0.0104
Epoch-1-[3420/4010]		Loss: 0.0141
Epoch-1-[3480/4010]		Loss: 0.0103
Epoch-1-[3540/4010]		Loss: 0.0116
Epoch-1-[3600/4010]		Loss: 0.0165
Epoch-1-[3660/4010]		Loss: 0.0120
Epoch-1-[3720/4010]		Loss: 0.0105
Epoch-1-[3780/4010]		Loss: 0.0140
Epoch-1-[3840/4010]		Loss: 0.0153
Epoch-1-[3900/4010]		Loss: 0.0207
Epoch-1-[3960/4010]		Loss: 0.0090

IXI: [lmo/T2/X8] Validation:
Epoch: [1]	Valid Loss: 0.0148	PSNR: 31.311	SSIM: 0.913	(Best PSNR: 31.311	SSIM: 0.913	@Epoch: 1)

Saving models...
Training consuming: 1326.30s
==================================================

Epoch [2/50]	Learning Rate: 1.000e-04
Epoch-2-[60/4010]		Loss: 0.0106
Epoch-2-[120/4010]		Loss: 0.0176
Epoch-2-[180/4010]		Loss: 0.0098
Epoch-2-[240/4010]		Loss: 0.0135
Epoch-2-[300/4010]		Loss: 0.0152
Epoch-2-[360/4010]		Loss: 0.0110
Epoch-2-[420/4010]		Loss: 0.0123
Epoch-2-[480/4010]		Loss: 0.0087
Epoch-2-[540/4010]		Loss: 0.0093
Epoch-2-[600/4010]		Loss: 0.0133
Epoch-2-[660/4010]		Loss: 0.0133
Epoch-2-[720/4010]		Loss: 0.0115
Epoch-2-[780/4010]		Loss: 0.0128
Epoch-2-[840/4010]		Loss: 0.0101
Epoch-2-[900/4010]		Loss: 0.0120
Epoch-2-[960/4010]		Loss: 0.0122
Epoch-2-[1020/4010]		Loss: 0.0119
Epoch-2-[1080/4010]		Loss: 0.0078
Epoch-2-[1140/4010]		Loss: 0.0148
Epoch-2-[1200/4010]		Loss: 0.0142
Epoch-2-[1260/4010]		Loss: 0.0105
Epoch-2-[1320/4010]		Loss: 0.0087
Epoch-2-[1380/4010]		Loss: 0.0125
Epoch-2-[1440/4010]		Loss: 0.0099
Epoch-2-[1500/4010]		Loss: 0.0114
Epoch-2-[1560/4010]		Loss: 0.0179
Epoch-2-[1620/4010]		Loss: 0.0118
Epoch-2-[1680/4010]		Loss: 0.0113
Epoch-2-[1740/4010]		Loss: 0.0140
Epoch-2-[1800/4010]		Loss: 0.0113
Epoch-2-[1860/4010]		Loss: 0.0104
Epoch-2-[1920/4010]		Loss: 0.0117
Epoch-2-[1980/4010]		Loss: 0.0067
Epoch-2-[2040/4010]		Loss: 0.0112
Epoch-2-[2100/4010]		Loss: 0.0101
Epoch-2-[2160/4010]		Loss: 0.0176
Epoch-2-[2220/4010]		Loss: 0.0143
Epoch-2-[2280/4010]		Loss: 0.0081
Epoch-2-[2340/4010]		Loss: 0.0159
Epoch-2-[2400/4010]		Loss: 0.0167
Epoch-2-[2460/4010]		Loss: 0.0125
Epoch-2-[2520/4010]		Loss: 0.0089
Epoch-2-[2580/4010]		Loss: 0.0088
Epoch-2-[2640/4010]		Loss: 0.0175
Epoch-2-[2700/4010]		Loss: 0.0146
Epoch-2-[2760/4010]		Loss: 0.0165
Epoch-2-[2820/4010]		Loss: 0.0089
Epoch-2-[2880/4010]		Loss: 0.0117
Epoch-2-[2940/4010]		Loss: 0.0116
Epoch-2-[3000/4010]		Loss: 0.0124
Epoch-2-[3060/4010]		Loss: 0.0100
Epoch-2-[3120/4010]		Loss: 0.0129
Epoch-2-[3180/4010]		Loss: 0.0150
Epoch-2-[3240/4010]		Loss: 0.0218
Epoch-2-[3300/4010]		Loss: 0.0089
Epoch-2-[3360/4010]		Loss: 0.0184
Epoch-2-[3420/4010]		Loss: 0.0093
Epoch-2-[3480/4010]		Loss: 0.0130
Epoch-2-[3540/4010]		Loss: 0.0112
Epoch-2-[3600/4010]		Loss: 0.0077
Epoch-2-[3660/4010]		Loss: 0.0114
Epoch-2-[3720/4010]		Loss: 0.0138
Epoch-2-[3780/4010]		Loss: 0.0111
Epoch-2-[3840/4010]		Loss: 0.0128
Epoch-2-[3900/4010]		Loss: 0.0117
Epoch-2-[3960/4010]		Loss: 0.0112

IXI: [lmo/T2/X8] Validation:
Epoch: [2]	Valid Loss: 0.0132	PSNR: 32.434	SSIM: 0.927	(Best PSNR: 32.434	SSIM: 0.927	@Epoch: 2)

Saving models...
Training consuming: 1326.54s
==================================================

Epoch [3/50]	Learning Rate: 1.000e-04
Epoch-3-[60/4010]		Loss: 0.0078
Epoch-3-[120/4010]		Loss: 0.0091
Epoch-3-[180/4010]		Loss: 0.0128
Epoch-3-[240/4010]		Loss: 0.0069
Epoch-3-[300/4010]		Loss: 0.0136
Epoch-3-[360/4010]		Loss: 0.0110
Epoch-3-[420/4010]		Loss: 0.0084
Epoch-3-[480/4010]		Loss: 0.0155
Epoch-3-[540/4010]		Loss: 0.0129
Epoch-3-[600/4010]		Loss: 0.0089
Epoch-3-[660/4010]		Loss: 0.0104
Epoch-3-[720/4010]		Loss: 0.0109
Epoch-3-[780/4010]		Loss: 0.0125
Epoch-3-[840/4010]		Loss: 0.0122
Epoch-3-[900/4010]		Loss: 0.0106
Epoch-3-[960/4010]		Loss: 0.0164
Epoch-3-[1020/4010]		Loss: 0.0089
Epoch-3-[1080/4010]		Loss: 0.0133
Epoch-3-[1140/4010]		Loss: 0.0104
Epoch-3-[1200/4010]		Loss: 0.0172
Epoch-3-[1260/4010]		Loss: 0.0236
Epoch-3-[1320/4010]		Loss: 0.0114
Epoch-3-[1380/4010]		Loss: 0.0110
Epoch-3-[1440/4010]		Loss: 0.0087
Epoch-3-[1500/4010]		Loss: 0.0197
Epoch-3-[1560/4010]		Loss: 0.0126
Epoch-3-[1620/4010]		Loss: 0.0179
Epoch-3-[1680/4010]		Loss: 0.0159
Epoch-3-[1740/4010]		Loss: 0.0123
Epoch-3-[1800/4010]		Loss: 0.0080
Epoch-3-[1860/4010]		Loss: 0.0148
Epoch-3-[1920/4010]		Loss: 0.0122
Epoch-3-[1980/4010]		Loss: 0.0233
Epoch-3-[2040/4010]		Loss: 0.0093
Epoch-3-[2100/4010]		Loss: 0.0139
Epoch-3-[2160/4010]		Loss: 0.0102
Epoch-3-[2220/4010]		Loss: 0.0116
Epoch-3-[2280/4010]		Loss: 0.0087
Epoch-3-[2340/4010]		Loss: 0.0114
Epoch-3-[2400/4010]		Loss: 0.0118
Epoch-3-[2460/4010]		Loss: 0.0095
Epoch-3-[2520/4010]		Loss: 0.0092
Epoch-3-[2580/4010]		Loss: 0.0103
Epoch-3-[2640/4010]		Loss: 0.0077
Epoch-3-[2700/4010]		Loss: 0.0088
Epoch-3-[2760/4010]		Loss: 0.0103
Epoch-3-[2820/4010]		Loss: 0.0111
Epoch-3-[2880/4010]		Loss: 0.0109
Epoch-3-[2940/4010]		Loss: 0.0096
Epoch-3-[3000/4010]		Loss: 0.0103
Epoch-3-[3060/4010]		Loss: 0.0101
Epoch-3-[3120/4010]		Loss: 0.0071
Epoch-3-[3180/4010]		Loss: 0.0085
Epoch-3-[3240/4010]		Loss: 0.0112
Epoch-3-[3300/4010]		Loss: 0.0091
Epoch-3-[3360/4010]		Loss: 0.0119
Epoch-3-[3420/4010]		Loss: 0.0097
Epoch-3-[3480/4010]		Loss: 0.0108
Epoch-3-[3540/4010]		Loss: 0.0101
Epoch-3-[3600/4010]		Loss: 0.0108
Epoch-3-[3660/4010]		Loss: 0.0105
Epoch-3-[3720/4010]		Loss: 0.0111
Epoch-3-[3780/4010]		Loss: 0.0135
Epoch-3-[3840/4010]		Loss: 0.0138
Epoch-3-[3900/4010]		Loss: 0.0088
Epoch-3-[3960/4010]		Loss: 0.0077

IXI: [lmo/T2/X8] Validation:
Epoch: [3]	Valid Loss: 0.0130	PSNR: 32.582	SSIM: 0.929	(Best PSNR: 32.582	SSIM: 0.929	@Epoch: 3)

Saving models...
Training consuming: 1328.84s
==================================================

Epoch [4/50]	Learning Rate: 1.000e-04
Epoch-4-[60/4010]		Loss: 0.0164
Epoch-4-[120/4010]		Loss: 0.0098
Epoch-4-[180/4010]		Loss: 0.0055
Epoch-4-[240/4010]		Loss: 0.0154
Epoch-4-[300/4010]		Loss: 0.0140
Epoch-4-[360/4010]		Loss: 0.0102
Epoch-4-[420/4010]		Loss: 0.0085
Epoch-4-[480/4010]		Loss: 0.0085
Epoch-4-[540/4010]		Loss: 0.0119
Epoch-4-[600/4010]		Loss: 0.0140
Epoch-4-[660/4010]		Loss: 0.0185
Epoch-4-[720/4010]		Loss: 0.0124
Epoch-4-[780/4010]		Loss: 0.0082
Epoch-4-[840/4010]		Loss: 0.0080
Epoch-4-[900/4010]		Loss: 0.0108
Epoch-4-[960/4010]		Loss: 0.0105
Epoch-4-[1020/4010]		Loss: 0.0120
Epoch-4-[1080/4010]		Loss: 0.0100
Epoch-4-[1140/4010]		Loss: 0.0134
Epoch-4-[1200/4010]		Loss: 0.0084
Epoch-4-[1260/4010]		Loss: 0.0097
Epoch-4-[1320/4010]		Loss: 0.0139
Epoch-4-[1380/4010]		Loss: 0.0146
Epoch-4-[1440/4010]		Loss: 0.0087
Epoch-4-[1500/4010]		Loss: 0.0095
Epoch-4-[1560/4010]		Loss: 0.0113
Epoch-4-[1620/4010]		Loss: 0.0060
Epoch-4-[1680/4010]		Loss: 0.0157
Epoch-4-[1740/4010]		Loss: 0.0108
Epoch-4-[1800/4010]		Loss: 0.0101
Epoch-4-[1860/4010]		Loss: 0.0149
Epoch-4-[1920/4010]		Loss: 0.0146
Epoch-4-[1980/4010]		Loss: 0.0134
Epoch-4-[2040/4010]		Loss: 0.0079
Epoch-4-[2100/4010]		Loss: 0.0105
Epoch-4-[2160/4010]		Loss: 0.0117
Epoch-4-[2220/4010]		Loss: 0.0110
Epoch-4-[2280/4010]		Loss: 0.0213
Epoch-4-[2340/4010]		Loss: 0.0105
Epoch-4-[2400/4010]		Loss: 0.0100
Epoch-4-[2460/4010]		Loss: 0.0090
Epoch-4-[2520/4010]		Loss: 0.0083
Epoch-4-[2580/4010]		Loss: 0.0104
Epoch-4-[2640/4010]		Loss: 0.0124
Epoch-4-[2700/4010]		Loss: 0.0113
Epoch-4-[2760/4010]		Loss: 0.0167
Epoch-4-[2820/4010]		Loss: 0.0092
Epoch-4-[2880/4010]		Loss: 0.0173
Epoch-4-[2940/4010]		Loss: 0.0085
Epoch-4-[3000/4010]		Loss: 0.0103
Epoch-4-[3060/4010]		Loss: 0.0078
Epoch-4-[3120/4010]		Loss: 0.0137
Epoch-4-[3180/4010]		Loss: 0.0066
Epoch-4-[3240/4010]		Loss: 0.0092
Epoch-4-[3300/4010]		Loss: 0.0149
Epoch-4-[3360/4010]		Loss: 0.0133
Epoch-4-[3420/4010]		Loss: 0.0106
Epoch-4-[3480/4010]		Loss: 0.0158
Epoch-4-[3540/4010]		Loss: 0.0090
Epoch-4-[3600/4010]		Loss: 0.0093
Epoch-4-[3660/4010]		Loss: 0.0093
Epoch-4-[3720/4010]		Loss: 0.0117
Epoch-4-[3780/4010]		Loss: 0.0097
Epoch-4-[3840/4010]		Loss: 0.0099
Epoch-4-[3900/4010]		Loss: 0.0088
Epoch-4-[3960/4010]		Loss: 0.0077

IXI: [lmo/T2/X8] Validation:
Epoch: [4]	Valid Loss: 0.0125	PSNR: 32.940	SSIM: 0.934	(Best PSNR: 32.940	SSIM: 0.934	@Epoch: 4)

Saving models...
Training consuming: 1326.03s
==================================================

Epoch [5/50]	Learning Rate: 1.000e-04
Epoch-5-[60/4010]		Loss: 0.0160
Epoch-5-[120/4010]		Loss: 0.0061
Epoch-5-[180/4010]		Loss: 0.0079
Epoch-5-[240/4010]		Loss: 0.0111
Epoch-5-[300/4010]		Loss: 0.0075
Epoch-5-[360/4010]		Loss: 0.0074
Epoch-5-[420/4010]		Loss: 0.0076
Epoch-5-[480/4010]		Loss: 0.0205
Epoch-5-[540/4010]		Loss: 0.0075
Epoch-5-[600/4010]		Loss: 0.0097
Epoch-5-[660/4010]		Loss: 0.0093
Epoch-5-[720/4010]		Loss: 0.0113
Epoch-5-[780/4010]		Loss: 0.0125
Epoch-5-[840/4010]		Loss: 0.0116
Epoch-5-[900/4010]		Loss: 0.0093
Epoch-5-[960/4010]		Loss: 0.0106
Epoch-5-[1020/4010]		Loss: 0.0113
Epoch-5-[1080/4010]		Loss: 0.0064
Epoch-5-[1140/4010]		Loss: 0.0113
Epoch-5-[1200/4010]		Loss: 0.0156
Epoch-5-[1260/4010]		Loss: 0.0107
Epoch-5-[1320/4010]		Loss: 0.0084
Epoch-5-[1380/4010]		Loss: 0.0105
Epoch-5-[1440/4010]		Loss: 0.0089
Epoch-5-[1500/4010]		Loss: 0.0111
Epoch-5-[1560/4010]		Loss: 0.0074
Epoch-5-[1620/4010]		Loss: 0.0085
Epoch-5-[1680/4010]		Loss: 0.0089
Epoch-5-[1740/4010]		Loss: 0.0092
Epoch-5-[1800/4010]		Loss: 0.0082
Epoch-5-[1860/4010]		Loss: 0.0105
Epoch-5-[1920/4010]		Loss: 0.0139
Epoch-5-[1980/4010]		Loss: 0.0120
Epoch-5-[2040/4010]		Loss: 0.0077
